秒看路线1,#genre#
CCTV1,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-1-CQ
CCTV2,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-2-CQ
CCTV3,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-3-CQ
CCTV4,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-4-CQ
CCTV5,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-5-CQ
CCTV5+,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-5PLUS-CQ
CCTV6,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-6-CQ
CCTV7,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-7-CQ
CCTV8,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-8-CQ
CCTV9,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-9-CQ
CCTV10,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-10-CQ
CCTV11,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-11-CQ
CCTV12,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-12-CQ
CCTV13,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-13-CQ
CCTV14,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-14-CQ
CCTV15,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-15-CQ
CCTV16,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-16-CQ
CCTV17,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-17-CQ
CCTV-NEWS,http://cqshushu.us.kg:2086/gitv.php?id=G_CCTV-NEWS
广东卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_GUANGDONG-CQ
江苏卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_JIANGSU-CQ
浙江卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_ZHEJIANG-CQ
湖南卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_HUNAN-CQ
东方卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_DONGFANG-CQ
北京卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_BEIJING-CQ
深圳卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_SHENZHEN-CQ
辽宁卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_LIAONING-CQ
安徽卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_ANHUI-CQ
山东卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_SHANDONG-CQ
黑龙江卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_HEILONGJIANG-CQ
天津卫视,http://cqshushu.us.kg:2086/gitv.php?id=G_TIANJIN-CQ
