独家路线,#genre#
CCTV1,http://39.134.65.180/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.180/PLTV/88888888/224/3221226119/1.m3u8
CCTV2,http://39.134.65.180/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.65.180/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.65.180/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.65.180/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.65.180/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.65.180/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.65.180/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.65.180/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.65.180/PLTV/88888888/224/3221226128/1.m3u8
CCTV10,http://39.134.65.180/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.65.180/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.65.180/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://39.134.65.180/PLTV/88888888/224/3221226130/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.65.180/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.180/PLTV/88888888/224/3221226132/1.m3u8
CCTV15,http://39.134.65.180/PLTV/88888888/224/3221226127/1.m3u8
CCTV15,http://39.134.65.180/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.65.180/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.65.180/PLTV/88888888/224/3221225708/1.m3u8

江苏卫视,http://39.134.65.180/PLTV/88888888/224/3221225503/1.m3u8
湖南卫视,http://39.134.65.180/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://39.134.65.180/PLTV/88888888/224/3221225977/1.m3u8
浙江卫视,http://39.134.65.180/PLTV/88888888/224/3221225514/1.m3u8
安徽卫视,http://39.134.65.180/PLTV/88888888/224/3221225672/1.m3u8
北京卫视,http://39.134.65.180/PLTV/88888888/224/3221225678/1.m3u8
重庆卫视,http://39.134.65.180/PLTV/88888888/224/3221225963/1.m3u8
河北卫视,http://39.134.65.180/PLTV/88888888/224/3221225961/1.m3u8
四川卫视,http://39.134.65.180/PLTV/88888888/224/3221225970/1.m3u8
广东卫视,http://39.134.65.180/PLTV/88888888/224/3221225966/1.m3u8
天津卫视,http://39.134.65.180/PLTV/88888888/224/3221225972/1.m3u8
湖北卫视,http://39.134.65.180/PLTV/88888888/224/3221225975/1.m3u8
海南卫视,http://39.134.65.180/PLTV/88888888/224/3221225978/1.m3u8
辽宁卫视,http://39.134.65.180/PLTV/88888888/224/3221226089/1.m3u8
河南卫视,http://39.134.65.180/PLTV/88888888/224/3221225988/1.m3u8
黑龙江卫视,http://39.134.65.180/PLTV/88888888/224/3221226056/1.m3u8
黑龙江卫视,http://39.134.65.180/PLTV/88888888/224/3221226068/1.m3u8
黑龙江卫视,http://39.134.65.180/PLTV/88888888/224/3221226060/1.m3u8
黑龙江卫视,http://39.134.65.180/PLTV/88888888/224/3221225985/1.m3u8

东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
吉林卫视,http://39.134.67.108/PLTV/88888888/224/3221226013/1.m3u8
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8
西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8

山西卫视,http://39.134.65.180/PLTV/88888888/224/3221226009/1.m3u8
兵团卫视,http://39.134.65.180/PLTV/88888888/224/3221226005/1.m3u8
延边卫视,http://39.134.65.180/PLTV/88888888/224/3221226040/1.m3u8
甘肃卫视,http://39.134.65.180/PLTV/88888888/224/3221226048/1.m3u8
青海卫视,http://39.134.65.180/PLTV/88888888/224/3221225948/1.m3u8

超级电视剧,http://39.134.65.180/PLTV/88888888/224/3221225637/1.m3u8
超级电影,http://39.134.65.180/PLTV/88888888/224/3221225644/1.m3u8
